"Timestamp","Age","Gender","Education","Income","Place of Residence","Monthly expenditure on OTC medicines.","Are you suffering from any common illness?","For what kind of common symptoms you ever worry? (You can select more than one option.)","Which category of OTC medicine you prefer to treat pain? (You can select more than one option.)","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Experience of previous use]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [The medicine's advertisement]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Family's /friends' opinion]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medicine's safety & effectivity]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [OTC medicines are cheaper & convenient]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medical advice]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Faster relief]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Availability of medicines]","Attitude & Practices regarding self medication and awareness. [Do you take medicines for self medication for long period without any medical advice]","Attitude & Practices regarding self medication and awareness. [Have you given your prescription to someone who have similar symptoms]","Attitude & Practices regarding self medication and awareness. [Do you take self medication without reading instructions on medicine label]","Attitude & Practices regarding self medication and awareness. [Do you check the expiry date before using any medicine]","Do you suffer from any side effect of OTC medicine?","Which of the following side effect do you suffer? (You can select more than one option)","Have you used any vitamins or other dietary supplements in the past year?","Do you have any long-term disease (Diabetes, BP, Asthma )","If yes, what long term diseases do you have? (You can select more than one option.)","Apart from this, are you taking any treatment below? (you can select more than one option.)"
"2022/02/24 12:11:09 pm GMT+5:30","20-29","Female","Post graduation","5 Lakh- 10 Lakh","Urban","Rs.200- Rs.400","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Disagree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Sometimes","Never","Always","No","None","Yes","No","None","None"
"2022/02/24 12:14:56 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Agree","Fully Agree","Agree","Sometimes","Sometimes","Always","Always","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 12:22:17 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Rs.601- Rs.800","Almost never","Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Agree","Never","Sometimes","Never","Always","Maybe","","Yes","No","","Not taking any treatment"
"2022/02/24 12:23:45 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Headache and fever","Others (such as eye drop and surgical dressings)","Agree","Disagree","Agree","Fully Agree","Disagree","Agree","Agree","Fully Agree","Never","Never","Never","Always","No","Sleepiness","No","No","No","No"
"2022/02/24 12:24:48 pm GMT+5:30","20-29","Male","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Sometimes","Sometimes","Never","Always","No","No side effects","No","No","No long term disease","Not taking any treatment"
"2022/02/24 12:25:31 pm GMT+5:30","40-49","Female","Post graduation","1 Lakh- 5 Lakh","Urban","Above Rs.800","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Sometimes","Never","Never","Always","No","Burning sensation in tummy","No","No","","Not taking any treatment"
"2022/02/24 12:32:09 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Semi-Urban","Above Rs.800","Almost never","Headache and fever;Joints and muscles pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Agree","Agree","Fully Agree","Agree","Fully Agree","Agree","Agree","Never","Sometimes","Never","Always","Maybe","Burning sensation in tummy;Sleepiness;Loss of appetite","No","Yes","Anxiety","Home remedies;Neurology consultancy "
"2022/02/24 12:35:29 pm GMT+5:30","20-29","Male","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Neither agree/ Nor disagree","Sometimes","Never","Never","Always","Maybe","Sleepiness","Not sure","No","","Not taking any treatment"
"2022/02/24 12:37:39 pm GMT+5:30","20-29","Female","Post graduation","5 Lakh- 10 Lakh","Urban","Below Rs.200","Less than once a month","Headache and fever;Backaches;Toothache;Abdominal pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Agree","Agree","Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Sometimes","Sometimes","Never","Always","Yes","Sleepiness;Nausea & Vomiting;Loss of appetite","No","No","","Homeopathy;Home remedies"
"2022/02/24 12:39:26 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Headache and fever;Abdominal pain","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin);Others (such as eye drop and surgical dressings)","Agree","Neither agree/ Nor disagree","Agree","Agree","Disagree","Agree","Neither agree/ Nor disagree","Agree","Never","Sometimes","Never","Always","No","","Yes","No","","Not taking any treatment"
"2022/02/24 12:42:47 pm GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","About once a month","Backaches;Joints and muscles pain;Toothache;Abdominal pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Sometimes","Sometimes","Never","Always","Maybe","Sleepiness;Nausea & Vomiting","Yes","No","","Not taking any treatment"
"2022/02/24 12:44:00 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Disagree completely","Disagree completely","Agree","Disagree completely","Fully Agree","Disagree","Disagree","Never","Never","Never","Always","No","","Yes","No","","Not taking any treatment"
"2022/02/24 12:46:10 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Semi-Urban","Below Rs.200","Less than once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Agree","Agree","Disagree","Fully Agree","Agree","Agree","Never","Sometimes","Never","Always","Maybe","Nausea & Vomiting","No","No","","Not taking any treatment"
"2022/02/24 12:46:38 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Above Rs.800","Atleast one day a week","Headache and fever;Backaches;Joints and muscles pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Disagree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Sometimes","Never","Never","Always","Yes","Burning sensation in tummy;Skin rash;Loss of appetite","Yes","No","","Ayurveda;Home remedies"
"2022/02/24 12:46:49 pm GMT+5:30","30-39","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Fully Agree","Agree","Agree","Fully Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Never","Sometimes","Never","Never","Maybe","Sleepiness","Yes","No","","Homeopathy"
"2022/02/24 12:47:36 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Sometimes","Never","Never","No","Burning sensation in tummy","No","No","","Not taking any treatment"
"2022/02/24 12:48:03 pm GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Urban","Rs.601- Rs.800","Less than once a month","Headache and fever;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Always","Maybe","Sleepiness","No","No","","Not taking any treatment;Home remedies"
"2022/02/24 12:48:18 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Disagree completely","Agree","Agree","Disagree completely","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 12:53:30 pm GMT+5:30","40-49","Female","Graduation","Not prefer to answer","Rural","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Disagree","Agree","Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Sometimes","Never","Never","Always","Maybe","Burning sensation in tummy;Skin rash","No","No","","Home remedies"
"2022/02/24 12:53:57 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Rural","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","No","Burning sensation in tummy","Yes","Yes","Diabetes","Not taking any treatment"
"2022/02/24 12:55:00 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Above Rs.800","Almost everyday","Backaches;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Sometimes","Sometimes","Never","Maybe","Sleepiness;Loss of appetite","Yes","Yes","Asthma","Homeopathy"
"2022/02/24 12:56:07 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost everyday","Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Disagree","Disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Always","No","NA","No","No","NA","Not taking any treatment"
"2022/02/24 12:56:42 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Disagree","Disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Never","Never","Never","Always","No","Burning sensation in tummy;Nausea & Vomiting","Yes","No","Epilepsy","Homeopathy"
"2022/02/24 12:58:09 pm GMT+5:30","40-49","Female","Secondary","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Period cramps;Ear pain","Others (such as eye drop and surgical dressings)","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Neither agree/ Nor disagree","Never","Sometimes","Always","Always","Maybe","Acidity ","No","No","","Home remedies"
"2022/02/24 1:00:57 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Skin rash","No","No","","Not taking any treatment"
"2022/02/24 1:01:30 pm GMT+5:30","20-29","Male","Graduation","5 Lakh- 10 Lakh","Urban","Below Rs.200","Almost never","Headache and fever;Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","No","Sleepiness;Abdominal problems;Skin rash","No","No","","Not taking any treatment"
"2022/02/24 1:03:21 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.200- Rs.400","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Sometimes","Never","Always","No","Sleepiness","Yes","No","","Not taking any treatment"
"2022/02/24 1:05:40 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever;Joints and muscles pain;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Never","Sometimes","Never","Always","No","Burning sensation in tummy","No","No","","Not taking any treatment"
"2022/02/24 1:09:14 pm GMT+5:30","20-29","Female","Graduation","0 - 1 Lakh","Semi-Urban","Below Rs.200","Almost never","Headache and fever;Backaches;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Never","Sometimes","Yes","Burning sensation in tummy","Yes","No","","Ayurveda"
"2022/02/24 1:09:54 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Rural","Below Rs.200","Almost never","Cough and common cold","Topical (ointments, cream, liquids that are applied to the skin)","Agree","Agree","Fully Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","No","No"
"2022/02/24 1:14:32 pm GMT+5:30","40-49","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","About once a month","Headache and fever;Backaches;Abdominal pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Sometimes","Always","Yes","Abdominal problems;Nausea & Vomiting","No","No","","Not taking any treatment"
"2022/02/24 1:18:48 pm GMT+5:30","40-49","Female","Higher secondary","Not prefer to answer","Semi-Urban","Rs.200- Rs.400","About once a month","Headache and fever;Backaches;Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Agree","Sometimes","Always","Never","Always","Maybe","Burning sensation in tummy;Sleepiness;Constipation","Yes","Yes","cervical spondylosis","Homeopathy"
"2022/02/24 1:20:14 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","No","Sleepiness","Yes","No","","Nope"
