"Timestamp","Age","Gender","Education","Income","Place of Residence","Monthly expenditure on OTC medicines.","Are you suffering from any common illness?","For what kind of common symptoms you ever worry? (You can select more than one option.)","Which category of OTC medicine you prefer to treat pain? (You can select more than one option.)","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Experience of previous use]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [The medicine's advertisement]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Family's /friends' opinion]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medicine's safety & effectivity]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [OTC medicines are cheaper & convenient]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medical advice]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Faster relief]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Availability of medicines]","Attitude & Practices regarding self medication and awareness. [Do you take medicines for self medication for long period without any medical advice]","Attitude & Practices regarding self medication and awareness. [Have you given your prescription to someone who have similar symptoms]","Attitude & Practices regarding self medication and awareness. [Do you take self medication without reading instructions on medicine label]","Attitude & Practices regarding self medication and awareness. [Do you check the expiry date before using any medicine]","Do you suffer from any side effect of OTC medicine?","Which of the following side effect do you suffer? (You can select more than one option)","Have you used any vitamins or other dietary supplements in the past year?","Do you have any long-term disease (Diabetes, BP, Asthma )","If yes, what long term diseases do you have? (You can select more than one option.)","Apart from this, are you taking any treatment below? (you can select more than one option.)"
"2022/02/24 1:20:18 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Always","Maybe","Sleepiness","Not sure","No","","Ayurveda"
"2022/02/24 1:20:36 pm GMT+5:30","20-29","Female","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Agree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","","Home remedies"
"2022/02/24 1:21:54 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Disagree","Neither agree/ Nor disagree","Agree","Agree","Sometimes","Sometimes","Sometimes","Always","Maybe","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 1:24:37 pm GMT+5:30","20-29","Female","Post graduation","5 Lakh- 10 Lakh","Urban","Rs.401- Rs.600","About once a month","Headache and fever;Backaches;Joints and muscles pain;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Neither agree/ Nor disagree","Agree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 1:27:53 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 1:30:01 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost never","Headache and fever;Backaches;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Agree","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Fully Agree","Fully Agree","Sometimes","Never","Never","Always","Maybe","Burning sensation in tummy;Skin rash;Constipation","Yes","No","","Not taking any treatment"
"2022/02/24 1:30:53 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","About once a month","Backaches;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Agree","Neither agree/ Nor disagree","Agree","Disagree","Agree","Neither agree/ Nor disagree","Fully Agree","Sometimes","Always","Always","Always","Yes","Sleepiness","Yes","No","","Homeopathy;Home remedies"
"2022/02/24 1:46:07 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Less than once a month","Joints and muscles pain","Others (such as eye drop and surgical dressings)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","No","Sleepiness","No","No","Nothing else","Not taking any treatment"
"2022/02/24 1:47:45 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Rs.401- Rs.600","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Fully Agree","Agree","Neither agree/ Nor disagree","Never","Sometimes","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 1:56:39 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","Yes","Skin rash","No","No","","Homeopathy"
"2022/02/24 1:59:02 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost never","Headache and fever;Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Agree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 2:03:22 pm GMT+5:30","40-49","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.200- Rs.400","Almost never","Joints and muscles pain","Topical (ointments, cream, liquids that are applied to the skin)","Agree","Disagree","Disagree","Agree","Fully Agree","Agree","Agree","Agree","Never","Always","Always","Always","No","Sleepiness","No","No","","Ayurveda"
"2022/02/24 2:05:38 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Agree","Fully Agree","Fully Agree","Agree","Sometimes","Sometimes","Never","Always","No","","No","No","","Home remedies"
"2022/02/24 2:12:13 pm GMT+5:30","20-29","Female","Post graduation","0 - 1 Lakh","Urban","Rs.200- Rs.400","Almost everyday","Cough and common cold","Others (such as eye drop and surgical dressings)","Agree","Fully Agree","Fully Agree","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Fully Agree","Sometimes","Always","Never","Always","Yes","Dry eyes","Yes","No","","Home remedies"
"2022/02/24 2:18:33 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Joints and muscles pain","Topical (ointments, cream, liquids that are applied to the skin);Others (such as eye drop and surgical dressings)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Maybe","Skin rash","No","No","NA","NA"
"2022/02/24 2:22:29 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Less than once a month","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","Yes","Burning sensation in tummy;Sleepiness;Skin rash","Yes","No","","Ayurveda"
"2022/02/24 2:27:08 pm GMT+5:30","20-29","Male","Secondary","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Always","Never","Always","Never","Maybe","Skin rash","No","No","","Ayurveda"
"2022/02/24 2:33:36 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost never","Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Fully Agree","Sometimes","Sometimes","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 2:37:57 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Disagree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 2:42:30 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Agree","Agree","Neither agree/ Nor disagree","Agree","Disagree","Disagree","Sometimes","Never","Never","Always","Maybe","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 2:49:55 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Migrane","Oral (tablet, syrup, capsule, powder, etc taken internally);Others (such as eye drop and surgical dressings)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 2:54:47 pm GMT+5:30","20-29","Female","Graduation","5 Lakh- 10 Lakh","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever;Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","Not sure","No","","Not taking any treatment"
"2022/02/24 3:02:59 pm GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Semi-Urban","Rs.200- Rs.400","About once a month","Headache and fever;Backaches;Joints and muscles pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Neither agree/ Nor disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Sometimes","Never","Sometimes","Sometimes","Yes","Sleepiness;Nausea & Vomiting;Loss of appetite","Yes","No","","Not taking any treatment"
"2022/02/24 3:16:48 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Agree","Agree","Sometimes","Never","Never","Always","Maybe","Sleepiness","No","No","","Home remedies"
"2022/02/24 3:52:06 pm GMT+5:30","30-39","Female","Higher secondary","Not prefer to answer","Urban","Below Rs.200","Almost never","Backaches;Joints and muscles pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Disagree completely","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Agree","Agree","Sometimes","Sometimes","Never","Always","Maybe","Sleepiness","Not sure","No","","Not taking any treatment"
"2022/02/24 3:52:44 pm GMT+5:30","50 and above","Female","Graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost everyday","Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness;Loss of appetite","Yes","No","","Not taking any treatment;Home remedies"
"2022/02/24 4:05:12 pm GMT+5:30","30-39","Female","Graduation","Not prefer to answer","Rural","Rs.401- Rs.600","About once a month","Joints and muscles pain;Abdominal pain","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Agree","Agree","Agree","Never","Sometimes","Never","Always","Maybe","Burning sensation in tummy;Abdominal problems","No","No","No","Not taking any treatment"
"2022/02/24 4:05:55 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Rural","Below Rs.200","Less than once a month","Headache and fever;Period cramps","Topical (ointments, cream, liquids that are applied to the skin)","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","No","Nothing ","Yes","No","","Not taking any treatment"
"2022/02/24 4:22:12 pm GMT+5:30","20-29","Male","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","No","Sleepiness","Not sure","No","No","Homeopathy"
"2022/02/24 4:54:02 pm GMT+5:30","20-29","Female","Graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Agree","Agree","Fully Agree","Fully Agree","Never","Sometimes","Never","Always","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 4:57:56 pm GMT+5:30","30-39","Female","Graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Headache and fever","Topical (ointments, cream, liquids that are applied to the skin)","Disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","Maybe","","No","No","","Not taking any treatment"
"2022/02/24 5:22:25 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Headache and fever;Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Fully Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Fully Agree","Never","Sometimes","Never","Always","No","Not suffered anything till now","Yes","No","","Not taking any treatment"
"2022/02/24 5:25:52 pm GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Atleast one day a week","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 5:27:19 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Backaches;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Disagree","Fully Agree","Agree","Agree","Never","Sometimes","Never","Always","Maybe","Sleepiness","No","No","","Ayurveda"
"2022/02/24 5:29:28 pm GMT+5:30","20-29","Female","Graduation","5 Lakh- 10 Lakh","Urban","Below Rs.200","Almost never","Headache and fever;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree completely","Neither agree/ Nor disagree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","","Homeopathy"
"2022/02/24 5:30:16 pm GMT+5:30","50 and above","Male","Graduation","5 Lakh- 10 Lakh","Urban","Below Rs.200","Less than once a month","Headache and fever;Backaches;Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Disagree completely","Agree","Agree","Disagree completely","Fully Agree","Fully Agree","Disagree completely","Never","Never","Never","Always","Maybe","Sleepiness;Skin rash","No","Yes","High blood pressure","Not taking any treatment"
"2022/02/24 5:34:17 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","About once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 5:37:54 pm GMT+5:30","20-29","Female","Graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","About once a month","Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Disagree","Neither agree/ Nor disagree","Agree","Fully Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 5:40:58 pm GMT+5:30","20-29","Male","Diploma","Not prefer to answer","Rural","Below Rs.200","Less than once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Agree","Agree","Fully Agree","Agree","Fully Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Sometimes","Always","Maybe","Sleepiness","Not sure","Yes","Asthma","Ayurveda"
"2022/02/24 5:48:48 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Headache and fever;Toothache;Abdominal pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin);Others (such as eye drop and surgical dressings)","Agree","Disagree","Agree","Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Never","Never","Sometimes","Always","Maybe","Sleepiness;Nausea & Vomiting","No","No","","Not taking any treatment"
"2022/02/24 5:56:45 pm GMT+5:30","40-49","Female","Graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Joints and muscles pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Agree","Agree","Fully Agree","Neither agree/ Nor disagree","Agree","Never","Never","Never","Never","Yes","Sleepiness;Skin rash","Yes","No","","Ayurveda"
"2022/02/24 6:04:48 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Atleast one day a week","Headache and fever;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Sometimes","Always","Never","Always","No","","No","No","","Homeopathy;Home remedies"
