"Timestamp","Age","Gender","Education","Income","Place of Residence","Monthly expenditure on OTC medicines.","Are you suffering from any common illness?","For what kind of common symptoms you ever worry? (You can select more than one option.)","Which category of OTC medicine you prefer to treat pain? (You can select more than one option.)","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Experience of previous use]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [The medicine's advertisement]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Family's /friends' opinion]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medicine's safety & effectivity]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [OTC medicines are cheaper & convenient]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Medical advice]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Faster relief]","To which extent do the following factors influence your selection during the purchase of an over-the-counter medicines? For each statement please check whether you Fully agree, Agree, Neither agree/ Nor disagree, Disagree, Disagree completely. [Availability of medicines]","Attitude & Practices regarding self medication and awareness. [Do you take medicines for self medication for long period without any medical advice]","Attitude & Practices regarding self medication and awareness. [Have you given your prescription to someone who have similar symptoms]","Attitude & Practices regarding self medication and awareness. [Do you take self medication without reading instructions on medicine label]","Attitude & Practices regarding self medication and awareness. [Do you check the expiry date before using any medicine]","Do you suffer from any side effect of OTC medicine?","Which of the following side effect do you suffer? (You can select more than one option)","Have you used any vitamins or other dietary supplements in the past year?","Do you have any long-term disease (Diabetes, BP, Asthma )","If yes, what long term diseases do you have? (You can select more than one option.)","Apart from this, are you taking any treatment below? (you can select more than one option.)"
"2022/02/24 6:04:52 pm GMT+5:30","20-29","Female","Graduation","1 Lakh- 5 Lakh","Rural","Above Rs.800","Less than once a month","Headache and fever;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Always","No","","No","No","","Homeopathy;Home remedies"
"2022/02/24 6:06:07 pm GMT+5:30","20-29","Male","Graduation","0 - 1 Lakh","Semi-Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Neither agree/ Nor disagree","Agree","Never","Sometimes","Never","Always","No","NA","No","No","NA","Not taking any treatment"
"2022/02/24 6:11:24 pm GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Urban","Rs.401- Rs.600","About once a month","Headache and fever;Backaches;Abdominal pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Never","Never","Always","Yes","Burning sensation in tummy;Sleepiness;Abdominal problems;Swelling in some parts of body","Yes","Yes","Severe case of Migraine","Home remedies"
"2022/02/24 6:14:57 pm GMT+5:30","40-49","Female","Higher secondary","Not prefer to answer","Urban","Rs.200- Rs.400","Atleast one day a week","Backaches;Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Disagree completely","Agree","Fully Agree","Disagree completely","Agree","Fully Agree","Disagree","Sometimes","Never","Never","Never","Maybe","Sleepiness;Skin rash","No","Yes","Diabetes","Ayurveda;Homeopathy;Home remedies"
"2022/02/24 6:16:56 pm GMT+5:30","20-29","Male","Higher secondary","0 - 1 Lakh","Rural","Rs.200- Rs.400","Almost never","Joints and muscles pain;Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 6:22:05 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Rural","Rs.200- Rs.400","Less than once a month","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Agree","Sometimes","Sometimes","Never","Always","No","Burning sensation in tummy","No","No","","Home remedies"
"2022/02/24 6:46:31 pm GMT+5:30","20-29","Female","Post graduation","0 - 1 Lakh","Urban","Above Rs.800","Almost everyday","Skin Disease Keratosis Pillaris ","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Sometimes","Maybe","Skin rash","Yes","No","","From My Doctor(Dermatologist)"
"2022/02/24 6:48:27 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Almost never","Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Disagree completely","Disagree","Disagree","Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","Maybe","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 7:15:12 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Agree","Neither agree/ Nor disagree","Never","Never","Never","Always","No","Sleepiness;Nausea & Vomiting","Yes","No","NA","NA"
"2022/02/24 7:39:54 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Headache and fever;Joints and muscles pain;Toothache;Abdominal pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Never","Always","No","Nothing","No","No","No","Not taking any treatment"
"2022/02/24 7:48:43 pm GMT+5:30","50 and above","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Agree","Agree","Agree","Disagree","Agree","Fully Agree","Agree","Sometimes","Sometimes","Sometimes","Always","Maybe","Sleepiness","Yes","Yes","High blood pressure","Home remedies"
"2022/02/24 7:55:22 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.200- Rs.400","Less than once a month","Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Fully Agree","Fully Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Never","No","Loss of appetite","No","No","","Not taking any treatment"
"2022/02/24 7:55:29 pm GMT+5:30","20-29","Female","Graduation","0 - 1 Lakh","Urban","Rs.200- Rs.400","About once a month","Joints and muscles pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Agree","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Never","Sometimes","Never","Always","Maybe","Sleepiness;Loss of appetite","Yes","Yes","Diabetes","Not taking any treatment"
"2022/02/24 8:23:11 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Backaches","Topical (ointments, cream, liquids that are applied to the skin)","Disagree completely","Disagree completely","Disagree completely","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Disagree completely","Never","Never","Never","Always","Yes","Burning sensation in tummy","No","No","","Not taking any treatment"
"2022/02/24 8:31:27 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Never","No","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 8:34:01 pm GMT+5:30","20-29","Male","Post graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Headache and fever;Backaches;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Agree","Disagree completely","Disagree completely","Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Sometimes","Never","Never","Always","No","NA","No","No","No","Not taking any treatment"
"2022/02/24 8:52:13 pm GMT+5:30","20-29","Male","Graduation","Not prefer to answer","Urban","Below Rs.200","Almost never","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Disagree completely","Disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 8:54:00 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Less than once a month","Abdominal pain;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Agree","Fully Agree","Fully Agree","Neither agree/ Nor disagree","Sometimes","Sometimes","Never","Always","Maybe","Sleepiness","Yes","No","","Ayurveda;Home remedies"
"2022/02/24 9:01:19 pm GMT+5:30","20-29","Male","Graduation","0 - 1 Lakh","Semi-Urban","Below Rs.200","Almost never","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Sometimes","No","Burning sensation in tummy","No","No","","Ayurveda"
"2022/02/24 9:02:35 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Disagree","Fully Agree","Disagree completely","Fully Agree","Agree","Disagree completely","Never","Never","Sometimes","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 9:05:14 pm GMT+5:30","20-29","Female","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Agree","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Never","Sometimes","Never","Always","No","","Yes","No","","Not taking any treatment"
"2022/02/24 9:13:21 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Rural","Rs.200- Rs.400","Almost never","Headache and fever;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","Skin rash","No","No","","Homeopathy"
"2022/02/24 9:35:11 pm GMT+5:30","30-39","Male","Graduation","1 Lakh- 5 Lakh","Urban","Rs.601- Rs.800","Almost never","Backaches;Toothache","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Agree","Fully Agree","Agree","Fully Agree","Agree","Fully Agree","Never","Sometimes","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 9:55:12 pm GMT+5:30","20-29","Male","Graduation","0 - 1 Lakh","Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Never","Never","Never","Never","No","No","Not sure","No","NA","Not taking any treatment"
"2022/02/24 10:03:56 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Rs.401- Rs.600","About once a month","Abdominal pain;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Disagree","Fully Agree","Fully Agree","Disagree","Sometimes","Sometimes","Sometimes","Always","No","","No","No","","Not taking any treatment"
"2022/02/24 10:15:01 pm GMT+5:30","20-29","Female","Graduation","0 - 1 Lakh","Semi-Urban","Rs.200- Rs.400","Almost never","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Always","No","Nothing","Not sure","No","","Not taking any treatment"
"2022/02/24 10:21:04 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Rural","Below Rs.200","Less than once a month","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally);Topical (ointments, cream, liquids that are applied to the skin)","Disagree","Disagree completely","Neither agree/ Nor disagree","Agree","Disagree completely","Fully Agree","Disagree completely","Disagree completely","Never","Sometimes","Always","Never","Maybe","NA","Yes","No","NA","Ayurveda"
"2022/02/24 10:23:10 pm GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Rural","Below Rs.200","Almost never","Joints and muscles pain","Topical (ointments, cream, liquids that are applied to the skin)","Agree","Disagree","Neither agree/ Nor disagree","Agree","Agree","Agree","Neither agree/ Nor disagree","Agree","Never","Never","Never","Always","Maybe","Sleepiness","No","No","","Not taking any treatment"
"2022/02/24 10:26:42 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Rs.200- Rs.400","About once a month","Headache and fever;Backaches;Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree completely","Disagree completely","Fully Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Never","Never","Never","Never","No","Sleepiness;Loss of appetite;Constipation","No","No","","Not taking any treatment"
"2022/02/24 10:41:28 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Rs.200- Rs.400","About once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Agree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Fully Agree","Sometimes","Never","Never","Sometimes","No","","Yes","No","","Not taking any treatment"
"2022/02/24 11:37:37 pm GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Urban","Below Rs.200","Less than once a month","Period cramps","Topical (ointments, cream, liquids that are applied to the skin)","Agree","Agree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Never","Never","Never","Always","No","Sleepiness","No","No","Nothing","Not taking any treatment"
"2022/02/25 7:12:25 am GMT+5:30","20-29","Female","Post graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","About once a month","Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree completely","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Sometimes","Never","Always","No","","Not sure","No","","Not taking any treatment"
"2022/02/25 7:57:03 am GMT+5:30","20-29","Male","Primary","Not prefer to answer","Rural","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Neither agree/ Nor disagree","Disagree","Disagree completely","Disagree","Neither agree/ Nor disagree","Agree","Never","Sometimes","Always","Sometimes","Yes","Skin rash","Yes","No","Diabetes;Asthma","Not taking any treatment;Homeopathy"
"2022/02/25 8:55:38 am GMT+5:30","20-29","Female","Graduation","Not prefer to answer","Semi-Urban","Rs.200- Rs.400","Almost never","Joints and muscles pain","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Fully Agree","Agree","Fully Agree","Fully Agree","Agree","Never","Never","Never","Always","Maybe","Sleepiness","No","No","","Not taking any treatment"
"2022/02/25 9:04:59 am GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Semi-Urban","Below Rs.200","Less than once a month","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Never","Always","No","","Not sure","No","","Not taking any treatment"
"2022/02/25 9:29:21 am GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Below Rs.200","About once a month","Headache and fever;Toothache;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Agree","Fully Agree","Fully Agree","Fully Agree","Fully Agree","Agree","Agree","Sometimes","Sometimes","Never","Always","No","Sleepiness;Nausea & Vomiting","Yes","No","","Home remedies"
"2022/02/25 9:36:40 am GMT+5:30","20-29","Male","Post graduation","1 Lakh- 5 Lakh","Urban","Above Rs.800","Less than once a month","Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Neither agree/ Nor disagree","Disagree","Neither agree/ Nor disagree","Agree","Agree","Neither agree/ Nor disagree","Disagree","Neither agree/ Nor disagree","Never","Sometimes","Sometimes","Sometimes","Maybe","Nausea & Vomiting;Loss of appetite","No","No","","Not taking any treatment"
"2022/02/25 9:59:55 am GMT+5:30","20-29","Male","Graduation","5 Lakh- 10 Lakh","Urban","Below Rs.200","Almost never","Cough and common cold","Topical (ointments, cream, liquids that are applied to the skin)","Fully Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Neither agree/ Nor disagree","Agree","Agree","Agree","Never","Sometimes","Never","Sometimes","No","Sleepiness","No","No","","Home remedies"
"2022/02/25 1:17:05 pm GMT+5:30","20-29","Female","Graduation","0 - 1 Lakh","Urban","Rs.601- Rs.800","Almost never","Backaches","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"
"2022/02/25 2:33:11 pm GMT+5:30","20-29","Female","Post graduation","Not prefer to answer","Urban","Rs.200- Rs.400","Less than once a month","Headache and fever;Cough and common cold;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Disagree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Fully Agree","Fully Agree","Agree","Never","Sometimes","Sometimes","Always","Maybe","Sleepiness;Nausea & Vomiting","No","No","","Not taking any treatment"
"2022/02/25 5:41:54 pm GMT+5:30","20-29","Male","Graduation","1 Lakh- 5 Lakh","Urban","Below Rs.200","Almost never","Headache and fever","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Sometimes","Never","Never","Always","No","Sleepiness;Skin rash","Yes","No","","Not taking any treatment"
"2022/02/25 10:36:21 pm GMT+5:30","20-29","Male","Post graduation","0 - 1 Lakh","Urban","Below Rs.200","Less than once a month","Headache and fever;Cough and common cold","Oral (tablet, syrup, capsule, powder, etc taken internally)","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Fully Agree","Agree","Fully Agree","Agree","Agree","Never","Never","Never","Sometimes","Maybe","","No","No","","Yes"
"2022/02/25 11:38:27 pm GMT+5:30","30-39","Male","Graduation","Not prefer to answer","Urban","Rs.401- Rs.600","Less than once a month","Acidity","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Neither agree/ Nor disagree","Disagree","Agree","Neither agree/ Nor disagree","Agree","Neither agree/ Nor disagree","Neither agree/ Nor disagree","Sometimes","Never","Never","Always","Maybe","Burning sensation in tummy","Yes","No","","Homeopathy"
"2022/02/26 12:38:36 pm GMT+5:30","20-29","Female","Graduation","1 Lakh- 5 Lakh","Semi-Urban","Below Rs.200","Less than once a month","Backaches;Period cramps","Oral (tablet, syrup, capsule, powder, etc taken internally)","Fully Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Never","Never","Never","Always","No","","No","No","","Not taking any treatment"